ID;Nome;Indirizzo;Comune;Camere;Posti letto;Proprietario;Cluster;Tag
A001;Pianeta Casa — Bilocale Marina 1;Via Marina 8 int. 1;Olbia;1;2;Pianeta Casa Srl;;
A002;Pianeta Casa — Bilocale Marina 2;Via Marina 8 int. 2;Olbia;1;2;Pianeta Casa Srl;;
A003;Pianeta Casa — Bilocale Marina 3;Via Marina 8 int. 3;Olbia;1;4;Pianeta Casa Srl;;
A004;Pianeta Casa — Trilocale Marina 4;Via Marina 8 int. 4;Olbia;2;5;Pianeta Casa Srl;;
A005;Pianeta Casa — Suite Porto 1;Via del Porto 22 int. 1;Olbia;1;2;Pianeta Casa Srl;;
A006;Pianeta Casa — Suite Porto 2;Via del Porto 22 int. 2;Olbia;1;2;Pianeta Casa Srl;;
A007;Pianeta Casa — Suite Porto 3;Via del Porto 22 int. 3;Olbia;1;3;Pianeta Casa Srl;;
A008;Pianeta Casa — Attico Porto;Via del Porto 22 int. 4;Olbia;3;6;Pianeta Casa Srl;;
A009;Via Sulis 14 int. 3;Via Sulis 14 int. 3;Cagliari;2;4;Marco Serra;;
A010;Piazza Yenne 2;Piazza Yenne 2;Cagliari;1;2;Giulia Pinna;;
A011;Via Manno 41;Via Manno 41;Cagliari;2;4;Antonio Melis;;
A012;Via Baylle 9 int. 2;Via Baylle 9 int. 2;Cagliari;1;3;Francesca Loi;;
A013;Corso Vittorio Emanuele 44;Corso Vittorio Emanuele 44;Cagliari;3;6;Paolo Cabras;;
A014;Via Sardegna 27;Via Sardegna 27;Cagliari;1;2;Elena Piras;;
A015;Viale Regina Margherita 18;Viale Regina Margherita 18;Cagliari;2;4;Roberto Sanna;;
A016;Via Napoli 5 int. 1;Via Napoli 5 int. 1;Cagliari;1;2;Chiara Deiana;;
A017;Via Roma 112;Via Roma 112;Cagliari;2;5;Stefano Marras;;
A018;Lungomare Poetto 3;Lungomare Poetto 3;Cagliari;2;4;Laura Puddu;;
A019;Via Genova 8;Via Genova 8;Olbia;1;2;Davide Corda;;
A020;Via Regina Elena 30;Via Regina Elena 30;Olbia;2;4;Silvia Mura;;
A021;Via Cavour 16 int. 2;Via Cavour 16 int. 2;Roma;1;2;Andrea Fadda;;
A022;Via Principe Amedeo 41;Via Principe Amedeo 41;Roma;2;4;Martina Usai;;
A023;Via Gioberti 7;Via Gioberti 7;Roma;1;3;Luca Atzori;;
A024;Palazzo San Lazzaro 1;Palazzo San Lazzaro 1;Roma;2;4;Valentina Congiu;;
A025;Palazzo San Lazzaro 2;Palazzo San Lazzaro 2;Roma;1;2;Massimo Carta;;
A026;Palazzo San Lazzaro 3;Palazzo San Lazzaro 3;Roma;2;5;Sara Manca;;
A027;Calle dei Fabbri 4;Calle dei Fabbri 4;Venezia;1;2;Giorgio Lai;;
A028;Fondamenta Nuove 21;Fondamenta Nuove 21;Venezia;2;4;Alessia Spano;;
A029;Via Dante 55 int. 1;Via Dante 55 int. 1;Cagliari;1;2;Immobiliare Tirso Srl;;
A030;Via Dante 55 int. 4;Via Dante 55 int. 4;Cagliari;1;2;Immobiliare Tirso Srl;;
A031;Via Alghero 12;Via Alghero 12;Cagliari;2;4;Nicola Vargiu;;
A032;Via Alghero 14;Via Alghero 14;Cagliari;2;4;Nicola Vargiu;;
A033;Via Milano 3 int. 2;Via Milano 3 int. 2;Roma;1;2;Beatrice Onnis;;
A034;Via Milano 3 int. 5;Via Milano 3 int. 5;Roma;1;3;Beatrice Onnis;;
A035;Campo Santa Margherita 9;Campo Santa Margherita 9;Venezia;2;4;Fabio Contini;;
A036;Rio Terà 12;Rio Terà 12;Venezia;1;2;Fabio Contini;;
A037;Via Garibaldi 19 int. 2;Via Garibaldi 19 int. 2;Cagliari;3;6;Rossi Gianluca;;
A038;Via Sassari 61;Via Sassari 61;Cagliari;1;2;;;
A039;Vico Speranza 2;Vico Speranza 2;Cagliari;1;2;;;
A040;Via Trieste 44 int. 3;Via Trieste 44 int. 3;Olbia;2;4;;;
