ID;Numero;Check in;Check-out;Notti;Camere;Ospiti;Ospiti minorenni;Ospiti maggiorenni;Ospiti esenti;Cittadinanza;Canale;Codice OTA;Stato;Addebiti;Addebito soggiorno;Addebito tassa di soggiorno;Altri addebiti;Commissioni;Commissioni trattenute;Proprietario;Quota Proprietario;Quota PM
A001;KB00001;01/06/2026;06/06/2026;5;1;2;1;1;1;NL;Airbnb;AI-980123;Confermata;565,00;475,00;10,00;80,00;83,25;Sì;Pianeta Casa Srl;;
A001;KB00002;09/06/2026;11/06/2026;2;1;2;0;2;0;US;Airbnb;AI-763241;Confermata;270,00;190,00;10,00;70,00;39,00;Sì;Pianeta Casa Srl;;
A001;KB00003;13/06/2026;16/06/2026;3;1;2;2;0;2;GB;Airbnb;AI-919495;Confermata;345,00;285,00;0,00;60,00;51,75;Sì;Pianeta Casa Srl;;
A001;KB00004;16/06/2026;19/06/2026;3;1;2;0;2;0;DE;Booking.com;BO-414299;Confermata;360,00;285,00;15,00;60,00;62,10;Sì;Pianeta Casa Srl;;
A001;KB00005;20/06/2026;25/06/2026;5;1;2;1;1;1;ES;Airbnb;AI-882663;Confermata;555,00;475,00;10,00;70,00;81,75;Sì;Pianeta Casa Srl;;
A001;KB00006;26/06/2026;29/06/2026;3;1;2;0;2;0;ES;Diretto;DI-441594;Confermata;300,00;285,00;15,00;0,00;0,00;No;Pianeta Casa Srl;;
A001;KB00007;29/06/2026;01/07/2026;2;1;2;1;1;1;GB;Airbnb;AI-295291;Confermata;265,00;190,00;5,00;70,00;39,00;Sì;Pianeta Casa Srl;;
A001;KB00008;02/07/2026;07/07/2026;5;1;1;0;1;0;NL;Diretto;DI-290035;Confermata;673,75;593,75;10,00;70,00;0,00;No;Pianeta Casa Srl;;
A001;KB00009;08/07/2026;12/07/2026;4;1;1;0;1;0;IT;Airbnb;AI-836692;Confermata;540,00;475,00;10,00;55,00;79,50;Sì;Pianeta Casa Srl;;
A001;KB00010;12/07/2026;19/07/2026;7;1;1;0;1;0;NL;Booking.com;BO-125811;Annullata;911,25;831,25;10,00;70,00;162,23;Sì;Pianeta Casa Srl;;
A001;KB00011;19/07/2026;21/07/2026;2;1;1;0;1;0;US;Booking.com;BO-146289;Confermata;312,50;237,50;5,00;70,00;55,35;Sì;Pianeta Casa Srl;;
A001;KB00012;23/07/2026;28/07/2026;5;1;2;2;0;2;CH;Booking.com;BO-702013;Confermata;593,75;593,75;0,00;0,00;106,88;Sì;Pianeta Casa Srl;;
A001;KB00013;30/07/2026;02/08/2026;3;1;1;0;1;0;ES;Airbnb;AI-918365;Confermata;433,75;356,25;7,50;70,00;63,94;Sì;Pianeta Casa Srl;;
A001;KB00014;05/08/2026;08/08/2026;3;1;1;0;1;0;NL;Booking.com;BO-992599;Confermata;337,50;285,00;7,50;45,00;59,40;Sì;Pianeta Casa Srl;;
